,song,name,trackid,trackuri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,clust
1344,Avalon,Bryan Ferry,61y28QdZIXzVtNIs3xZuaT,spotify:track:61y28QdZIXzVtNIs3xZuaT,0.757,0.489,0,-10.924,1,0.0346,0.665,0.613,0.21,0.875,136.644,256760,0
1345,Both Sides Now,Joni Mitchell,1pjATX7sbd6Y4jMVqIvzHk,spotify:track:1pjATX7sbd6Y4jMVqIvzHk,0.258,0.139,2,-13.522,1,0.0317,0.868,0.00149,0.1,0.139,77.995,345400,1
1346,Pa Olvidarte,Various Artists,3XAaiiSNPVDvXC2CKAetY3,spotify:track:3XAaiiSNPVDvXC2CKAetY3,0.718,0.86,11,-7.515,1,0.115,0.658,0.0,0.187,0.914,89.97,171508,4
1347,Ik Heb Je Lief,Stef Bos,3pj0bMasvxOMBRGEP2j4vc,spotify:track:3pj0bMasvxOMBRGEP2j4vc,0.582,0.172,2,-15.517,1,0.0295,0.815,0.000848,0.0864,0.203,139.93,178107,1
1348,Massachussetts,Bee Gees,2R30N7DHSavVqORsbMApqV,spotify:track:2R30N7DHSavVqORsbMApqV,0.215,0.459,7,-13.406,1,0.0544,0.00861,0.00934,0.0619,0.443,50.732,147533,1
1349,Luv U More - K&A's Radio blast,Paul Elstak,0yOVwe179MrHeIPU7h6Tkq,spotify:track:0yOVwe179MrHeIPU7h6Tkq,0.512,0.817,9,-11.416,1,0.0341,0.00387,0.0145,0.145,0.0692,167.817,232286,2
1350,Remedy,The Black Crowes,217a9W3cZ3ur40RFQW2pTo,spotify:track:217a9W3cZ3ur40RFQW2pTo,0.411,0.978,10,-3.801,0,0.0532,0.00138,3.97e-06,0.0782,0.353,160.478,322640,2
1351,Why Does My Heart Feel so Bad?,Moby,3llxqT4IdBS7i2CCIPImww,spotify:track:3llxqT4IdBS7i2CCIPImww,0.338,0.597,7,-8.048,1,0.0515,0.00106,0.157,0.0846,0.0393,97.884,263560,2
1352,The Spirit Of Radio,Rush,4e9hUiLsN4mx61ARosFi7p,spotify:track:4e9hUiLsN4mx61ARosFi7p,0.365,0.924,4,-7.066,1,0.0488,0.0144,0.000254,0.423,0.632,135.811,296467,2
1353,Love Is A Losing Game,Amy Winehouse,570ZDO2Lmh6NQChOU5xPUL,spotify:track:570ZDO2Lmh6NQChOU5xPUL,0.48,0.561,0,-5.874,1,0.027,0.317,0.00641,0.184,0.541,164.791,154160,2
1354,This Is Not America - 2002 Remaster,David Bowie,3Tc5BaETZ8E6p1xlSNotzt,spotify:track:3Tc5BaETZ8E6p1xlSNotzt,0.715,0.674,0,-11.917,0,0.0376,0.0569,0.0033,0.0519,0.65,115.284,231427,3
1355,Hurt,Christina Aguilera,6gDXbcILAyBa2skSdbUYq7,spotify:track:6gDXbcILAyBa2skSdbUYq7,0.327,0.295,4,-6.907,0,0.0313,0.775,0.0,0.107,0.143,148.574,243373,1
1356,You Can't Hurry Love - 2016 Remaster,Phil Collins,4YwbSZaYeYja8Umyt222Qf,spotify:track:4YwbSZaYeYja8Umyt222Qf,0.62,0.936,7,-4.593,1,0.0308,0.0261,0.0,0.0679,0.763,97.527,175747,4
1357,Ziggy Stardust - 2012 Remaster,David Bowie,5IyL3XOaRPpTgxVjRIAxXU,spotify:track:5IyL3XOaRPpTgxVjRIAxXU,0.515,0.554,7,-11.616,1,0.0784,0.0478,0.0,0.219,0.509,80.146,193880,4
1358,Ruby Tuesday,The Rolling Stones,4hupcimlg3UBbW1kAQ6vrT,spotify:track:4hupcimlg3UBbW1kAQ6vrT,0.524,0.553,0,-10.767,1,0.0292,0.831,0.0,0.174,0.517,104.578,196493,1
1359,Times Like These,Foo Fighters,67vYdAAM3oGsEImCRfbtsF,spotify:track:67vYdAAM3oGsEImCRfbtsF,0.376,0.908,4,-3.793,0,0.0879,1.4e-05,1.4e-05,0.241,0.266,144.581,265560,2
1360,Two Out of Three Ain't Bad,Meat Loaf,2ph0hzV1kCVhR82E2La4q5,spotify:track:2ph0hzV1kCVhR82E2La4q5,0.586,0.48,9,-9.138,1,0.0243,0.385,0.0,0.0947,0.488,79.873,324440,1
1361,Als Het Golft,De Dijk,1ejFW0TYnTuYX2ZsJ0qcnH,spotify:track:1ejFW0TYnTuYX2ZsJ0qcnH,0.535,0.915,7,-3.928,0,0.0294,0.0281,0.000313,0.36,0.642,102.086,215013,3
1362,Tragedy,Bee Gees,6UXXeFqMBGiqjkzQzkMT3E,spotify:track:6UXXeFqMBGiqjkzQzkMT3E,0.665,0.532,2,-10.793,1,0.0277,0.0889,0.0109,0.296,0.81,117.955,303333,4
1363,A Change Is Gonna Come,Sam Cooke,0KOE1hat4SIer491XKk4Pa,spotify:track:0KOE1hat4SIer491XKk4Pa,0.212,0.383,10,-10.071,1,0.0347,0.723,0.0,0.299,0.452,173.79,191160,1
1364,Hemel Valt,Typhoon,2d0amOy3Pd3Y88EwAtBlj2,spotify:track:2d0amOy3Pd3Y88EwAtBlj2,0.664,0.736,5,-6.66,1,0.136,0.239,0.0,0.327,0.742,96.829,160840,4
1365,Rapper's Delight - Single Version,The Sugarhill Gang,0tm6gsXe0LSm9zeSspyMQu,spotify:track:0tm6gsXe0LSm9zeSspyMQu,0.917,0.692,2,-11.665,1,0.244,0.185,1.09e-05,0.0686,0.819,111.782,235840,5
1366,Run To You,Bryan Adams,2RWFncSWZEhSRRifqiDNVV,spotify:track:2RWFncSWZEhSRRifqiDNVV,0.561,0.811,4,-6.157,1,0.0265,0.00515,3.6e-05,0.287,0.635,126.593,233270,4
1367,Black Velvet,Alannah Myles,1KU5EHSz04JhGg3rReGJ0N,spotify:track:1KU5EHSz04JhGg3rReGJ0N,0.754,0.366,8,-10.07,1,0.0312,0.273,9.04e-05,0.106,0.469,91.147,287440,1
